,ride_id,travel_date,travel_time,travel_from,max_capacity,number_of_ticket,day
0,1442,2017-10-17,435,Migori,49,1,Tuesday
1,5437,2017-11-19,432,Migori,49,1,Sunday
2,5710,2017-11-26,425,Keroka,49,1,Sunday
3,5777,2017-11-27,430,Homa Bay,49,5,Monday
4,5778,2017-11-27,432,Migori,49,31,Monday
5,5781,2017-11-27,429,Homa Bay,49,26,Monday
6,5784,2018-04-20,310,Kisii,11,1,Friday
7,5789,2018-04-20,590,Kisii,11,1,Friday
8,5790,2018-04-20,426,Kisii,49,2,Friday
9,5791,2018-04-20,360,Kisii,11,1,Friday
10,5792,2018-04-20,350,Kisii,11,1,Friday
11,5793,2018-04-20,658,Kisii,11,1,Friday
12,5794,2018-04-20,410,Kisii,11,2,Friday
13,5795,2018-04-20,330,Kisii,11,1,Friday
14,5796,2018-04-20,400,Kisii,11,2,Friday
15,5797,2017-11-27,426,Keroka,49,3,Monday
16,5798,2018-04-20,550,Kisii,11,1,Friday
17,5800,2018-04-19,300,Kisii,11,2,Thursday
18,5801,2018-04-19,320,Kisii,11,11,Thursday
19,5802,2017-11-27,652,Keroka,11,3,Monday
20,5803,2018-04-19,310,Kisii,11,11,Thursday
21,5804,2017-11-27,650,Keroka,11,1,Monday
22,5808,2018-04-19,426,Kisii,49,2,Thursday
23,5809,2018-04-19,651,Kisii,11,1,Thursday
24,5810,2018-04-19,435,Kisii,11,1,Thursday
25,5811,2018-04-19,500,Kisii,11,1,Thursday
26,5812,2018-04-19,330,Kisii,11,1,Thursday
27,5816,2018-04-18,310,Kisii,11,1,Wednesday
28,5817,2018-04-18,300,Kisii,11,1,Wednesday
29,5822,2018-04-18,426,Kisii,49,1,Wednesday
30,5823,2018-04-18,400,Kisii,11,2,Wednesday
31,5824,2018-04-18,500,Kisii,11,1,Wednesday
32,5825,2018-04-18,1143,Kisii,49,1,Wednesday
33,5826,2018-04-18,330,Kisii,11,1,Wednesday
34,5830,2018-04-17,320,Kisii,11,1,Tuesday
35,5834,2018-04-17,422,Kisii,49,1,Tuesday
36,5835,2018-04-17,400,Kisii,11,2,Tuesday
37,5836,2018-04-17,410,Kisii,11,1,Tuesday
38,5837,2018-04-17,426,Kisii,49,1,Tuesday
39,5838,2018-04-17,390,Kisii,11,1,Tuesday
40,5839,2018-04-17,440,Kisii,11,1,Tuesday
41,5840,2018-04-17,330,Kisii,11,1,Tuesday
42,5844,2018-04-16,310,Kisii,11,1,Monday
43,5845,2018-04-16,300,Kisii,11,1,Monday
44,5849,2018-04-16,426,Kisii,49,1,Monday
45,5850,2018-04-16,424,Kisii,49,1,Monday
46,5851,2018-04-16,1145,Kisii,49,1,Monday
47,5852,2018-04-16,435,Kisii,11,1,Monday
48,5853,2018-04-16,330,Kisii,11,1,Monday
49,5856,2018-04-15,320,Kisii,11,11,Sunday
50,5857,2018-04-15,300,Kisii,11,4,Sunday
51,5858,2018-04-15,310,Kisii,11,11,Sunday
52,5861,2018-04-15,1144,Kisii,49,1,Sunday
53,5862,2018-04-15,424,Kisii,49,1,Sunday
54,5863,2018-04-15,400,Kisii,11,1,Sunday
55,5864,2018-04-15,330,Kisii,11,1,Sunday
56,5867,2018-04-14,310,Kisii,11,9,Saturday
57,5868,2018-04-14,320,Kisii,11,6,Saturday
58,5873,2018-04-14,419,Kisii,49,1,Saturday
59,5874,2018-04-14,426,Kisii,49,5,Saturday
60,5875,2017-11-27,428,Migori,49,3,Monday
61,5876,2018-04-14,340,Kisii,11,1,Saturday
62,5878,2018-04-14,330,Kisii,11,2,Saturday
63,5880,2018-04-13,320,Kisii,11,11,Friday
64,5881,2018-04-13,300,Kisii,11,1,Friday
65,5882,2018-04-13,310,Kisii,11,4,Friday
66,5886,2018-04-13,540,Kisii,11,1,Friday
67,5887,2018-04-13,426,Kisii,49,1,Friday
68,5888,2018-04-13,434,Kisii,49,1,Friday
69,5889,2018-04-13,427,Kisii,49,1,Friday
70,5890,2018-04-13,330,Kisii,11,1,Friday
71,5894,2018-12-04,300,Kisii,11,11,Tuesday
72,5897,2018-12-04,320,Kisii,11,11,Tuesday
73,5898,2017-11-27,390,Keroka,11,1,Monday
74,5899,2017-11-27,390,Keumbu,11,1,Monday
75,5901,2017-11-27,435,Migori,49,11,Monday
76,5902,2017-11-27,424,Homa Bay,49,5,Monday
77,5910,2018-12-04,310,Kisii,11,11,Tuesday
78,5918,2018-12-04,428,Kisii,49,1,Tuesday
79,5919,2018-12-04,480,Kisii,49,1,Tuesday
80,5920,2018-12-04,426,Kisii,49,1,Tuesday
81,5921,2018-12-04,434,Kisii,49,1,Tuesday
82,5922,2018-12-04,590,Kisii,11,1,Tuesday
83,5923,2018-12-04,450,Kisii,11,1,Tuesday
84,5924,2018-12-04,657,Kisii,11,1,Tuesday
85,5925,2018-12-04,330,Kisii,11,1,Tuesday
86,5928,2018-11-04,320,Kisii,11,1,Sunday
87,5929,2018-11-04,310,Kisii,11,8,Sunday
88,5931,2018-11-04,300,Kisii,11,1,Sunday
89,5933,2017-11-28,510,Keroka,11,1,Tuesday
90,5937,2017-11-28,426,Keroka,49,1,Tuesday
91,5940,2018-11-04,422,Kisii,49,1,Sunday
92,5941,2018-11-04,590,Kisii,11,3,Sunday
93,5942,2018-11-04,661,Kisii,11,1,Sunday
94,5943,2018-11-04,390,Kisii,11,1,Sunday
95,5944,2018-11-04,431,Kisii,49,1,Sunday
96,5945,2018-11-04,658,Kisii,11,1,Sunday
97,5946,2018-11-04,330,Kisii,11,1,Sunday
98,5947,2017-11-28,432,Migori,49,11,Tuesday
99,5950,2017-11-28,429,Homa Bay,49,10,Tuesday
100,5951,2018-10-04,310,Kisii,11,6,Thursday
101,5953,2018-10-04,300,Kisii,11,1,Thursday
102,5957,2018-10-04,426,Kisii,49,6,Thursday
103,5958,2018-10-04,400,Kisii,11,1,Thursday
104,5959,2018-10-04,340,Kisii,11,1,Thursday
105,5960,2018-10-04,360,Kisii,11,1,Thursday
106,5961,2018-10-04,330,Kisii,11,1,Thursday
107,5964,2018-09-04,310,Kisii,11,2,Tuesday
108,5965,2018-09-04,300,Kisii,11,1,Tuesday
109,5969,2018-09-04,426,Kisii,49,2,Tuesday
110,5971,2018-09-04,1143,Kisii,49,1,Tuesday
111,5972,2018-09-04,390,Kisii,11,2,Tuesday
112,5973,2018-09-04,330,Kisii,11,1,Tuesday
113,5976,2018-08-04,310,Kisii,11,2,Saturday
114,5982,2018-08-04,426,Kisii,49,4,Saturday
115,5983,2018-08-04,550,Kisii,11,1,Saturday
116,5984,2018-08-04,423,Kisii,49,1,Saturday
117,5985,2018-08-04,330,Kisii,11,1,Saturday
118,5986,2018-08-04,424,Kisii,49,1,Saturday
119,5988,2017-11-28,428,Migori,49,3,Tuesday
120,5993,2018-07-04,426,Kisii,49,1,Wednesday
121,5994,2018-07-04,418,Kisii,11,1,Wednesday
122,5995,2018-07-04,400,Kisii,11,1,Wednesday
123,5996,2018-07-04,390,Kisii,11,2,Wednesday
124,5997,2018-07-04,665,Kisii,11,1,Wednesday
125,5998,2017-11-28,620,Keroka,11,1,Tuesday
126,6000,2018-07-04,330,Kisii,11,1,Wednesday
127,6003,2018-06-04,310,Kisii,11,5,Monday
128,6008,2018-06-04,426,Kisii,49,2,Monday
129,6009,2018-06-04,350,Kisii,11,1,Monday
130,6010,2018-06-04,330,Kisii,11,1,Monday
131,6013,2018-05-04,300,Kisii,11,1,Friday
132,6015,2018-05-04,310,Kisii,11,8,Friday
133,6019,2018-05-04,427,Kisii,49,2,Friday
134,6020,2018-05-04,426,Kisii,49,1,Friday
135,6021,2018-05-04,1145,Kisii,49,1,Friday
136,6022,2018-05-04,330,Kisii,11,1,Friday
137,6029,2018-04-04,428,Kisii,49,1,Wednesday
138,6030,2018-04-04,426,Kisii,49,1,Wednesday
139,6031,2018-04-04,360,Kisii,11,1,Wednesday
140,6032,2018-04-04,330,Kisii,11,1,Wednesday
141,6037,2018-03-04,426,Kisii,49,1,Sunday
142,6038,2018-03-04,427,Kisii,49,1,Sunday
143,6039,2018-03-04,653,Kisii,11,1,Sunday
144,6040,2018-03-04,340,Kisii,11,1,Sunday
145,6041,2018-03-04,440,Kisii,11,1,Sunday
146,6042,2018-03-04,330,Kisii,11,1,Sunday
147,6045,2018-02-04,300,Kisii,11,1,Sunday
148,6049,2018-02-04,426,Kisii,49,2,Sunday
149,6050,2018-02-04,432,Kisii,49,1,Sunday
150,6051,2018-02-04,330,Kisii,11,1,Sunday
151,6055,2017-11-28,424,Homa Bay,49,4,Tuesday
152,6058,2018-01-04,426,Kisii,49,1,Thursday
153,6059,2018-01-04,590,Kisii,11,2,Thursday
154,6060,2018-01-04,330,Kisii,11,1,Thursday
155,6065,2018-03-31,424,Kisii,49,1,Saturday
156,6066,2018-03-31,426,Kisii,49,1,Saturday
157,6067,2018-03-31,600,Kisii,11,1,Saturday
158,6068,2018-03-31,530,Kisii,11,1,Saturday
159,6069,2018-03-31,651,Kisii,11,1,Saturday
160,6070,2018-03-31,330,Kisii,11,1,Saturday
161,6073,2018-03-30,300,Kisii,11,1,Friday
162,6080,2018-03-30,422,Kisii,49,1,Friday
163,6081,2018-03-30,654,Kisii,11,1,Friday
164,6082,2018-03-30,340,Kisii,11,1,Friday
165,6083,2018-03-30,620,Kisii,11,1,Friday
166,6084,2018-03-30,330,Kisii,11,1,Friday
167,6085,2018-03-30,650,Kisii,11,1,Friday
168,6088,2018-03-29,300,Kisii,11,2,Thursday
169,6089,2018-03-29,310,Kisii,11,1,Thursday
170,6095,2018-03-29,426,Kisii,49,2,Thursday
171,6096,2018-03-29,590,Kisii,11,1,Thursday
172,6097,2018-03-29,330,Kisii,11,2,Thursday
173,6099,2018-03-29,421,Kisii,49,1,Thursday
174,6105,2018-03-28,310,Kisii,11,1,Wednesday
175,6106,2018-03-28,300,Kisii,11,1,Wednesday
176,6112,2018-03-28,426,Kisii,49,2,Wednesday
177,6113,2018-03-28,620,Kisii,11,1,Wednesday
178,6114,2018-03-28,530,Kisii,11,1,Wednesday
179,6115,2018-03-28,400,Kisii,11,1,Wednesday
180,6116,2018-03-28,420,Kisii,11,1,Wednesday
181,6117,2018-03-28,330,Kisii,11,1,Wednesday
182,6120,2017-11-29,434,Rongo,49,1,Wednesday
